Legacy_OrganizationName,Legacy_OrganizationID,Legacy_ProgramName,Legacy_ProgramID,Clarity_AgencyID,Clarity_AgencyName,Clarity_ProgramID,Clarity_ProgramName
"City of Springfield, Ohio",1068,zzClark - City of Springfield - SPC3 - PSH,1354,107,"City of Springfield, Ohio",423,zzClark - City of Springfield - SPC3 - PSH
"City of Springfield, Ohio",1068,zzClark - City of Springfield - St. Vincent DePaul SPC - PSH,390,107,"City of Springfield, Ohio",97,zzClark - City of Springfield - St. Vincent DePaul SPC - PSH
Jefferson County CAC,107,Jefferson - Jefferson County CAC - Cathedral Apartments - PSH,110,33,Jefferson County CAC,25,Jefferson - Jefferson County CAC - Cathedral Apartments - PSH
Jefferson County CAC,107,Jefferson - Jefferson County CAC - SHP - PSH,1705,33,Jefferson County CAC,499,Jefferson - Jefferson County CAC - SHP - PSH
Jefferson County CAC,107,Harrison - Jefferson County CAC - HCRP RRH,1873,33,Jefferson County CAC,569,Harrison - Jefferson County CAC - HCRP RRH
Jefferson County CAC,107,Harrison - Jefferson County CAC - HCRP HP,1874,33,Jefferson County CAC,570,Harrison - Jefferson County CAC - HCRP HP
Jefferson County CAC,107,Jefferson - Jefferson County CAC - Targeted RRH,2038,33,Jefferson County CAC,703,Jefferson - Jefferson County CAC - Targeted RRH
Jefferson County CAC,107,Harrison - Jefferson County CAC - Targeted RRH,2051,33,Jefferson County CAC,715,Harrison - Jefferson County CAC - Targeted RRH
Jefferson County CAC,107,Jefferson - Jefferson County CAC - ESG-CV HP,2245,33,Jefferson County CAC,862,Jefferson - Jefferson County CAC - ESG-CV HP
Jefferson County CAC,107,Jefferson - Jefferson County CAC - ESG-CV RRH,2246,33,Jefferson County CAC,863,Jefferson - Jefferson County CAC - ESG-CV RRH
Jefferson County CAC,107,Jefferson - Jefferson County CAC - HCRP RRH,882,33,Jefferson County CAC,195,Jefferson - Jefferson County CAC - HCRP RRH
Jefferson County CAC,107,Jefferson - Jefferson County CAC - HCRP HP,883,33,Jefferson County CAC,196,Jefferson - Jefferson County CAC - HCRP HP
Licking/Knox Goodwill Industries,1070,Licking - Licking/Knox Goodwill Industries - GPD - TH - VET,749,108,Licking/Knox Goodwill Industries,158,Licking - Licking/Knox Goodwill Industries - GPD - TH - VET
Butler County Board of Commissioners,1071,zzButler - Butler County SPC for Adults w/ Chronic Homelessness - PSH,718,109,Butler County Board of Commissioners,139,zzButler - Butler County SPC for Adults w/ Chronic Homelessness - PSH
Butler County Board of Commissioners,1071,Butler - Butler County SPC for Homeless Individuals & Families - PSH,719,109,Butler County Board of Commissioners,140,Butler - Butler County SPC for Homeless Individuals & Families - PSH
Butler County Board of Commissioners,1071,zzButler - Butler County SPC for Adults w/ Chronic Homelessness II - PSH,721,109,Butler County Board of Commissioners,142,zzButler - Butler County SPC for Adults w/ Chronic Homelessness II - PSH
Columbiana Metropolitan Housing Authority,1072,Columbiana - MHA Shelter Plus Care I - PSH,1099,110,Columbiana Metropolitan Housing Authority,318,Columbiana - MHA Shelter Plus Care I - PSH
Columbiana Metropolitan Housing Authority,1072,Columbiana - Columbiana MHA - Columbiana Free Choice II The Counseling Center- PSH,31,110,Columbiana Metropolitan Housing Authority,9,Columbiana - Columbiana MHA - Columbiana Free Choice II The Counseling Center- PSH
Columbiana Metropolitan Housing Authority,1072,zzColumbiana - Columbiana MHA - Columbiana Hearthside SPC Program - PSH,516,110,Columbiana Metropolitan Housing Authority,113,zzColumbiana - Columbiana MHA - Columbiana Hearthside SPC Program - PSH
Preble County Mental Health & Recovery Board,1073,Preble - Mental Health Recovery Board of Preble County - Prestwick Square II - PSH,1088,111,Preble County Mental Health & Recovery Board,312,Preble - Mental Health Recovery Board of Preble County - Prestwick Square II - PSH
Preble County Mental Health & Recovery Board,1073,Preble - Mental Health Recovery Board of Preble County - Prestwick Square - PSH,730,111,Preble County Mental Health & Recovery Board,148,Preble - Mental Health Recovery Board of Preble County - Prestwick Square - PSH
Fayette Metropolitan Housing Authority,1075,Fayette - CAC of Fayette County - Shelter Plus Care - PSH,726,113,Fayette Metropolitan Housing Authority,144,Fayette - CAC of Fayette County - Shelter Plus Care - PSH
Lawrence County Port Authority,1076,Lawrence - Lawrence County Port Authority - Lawrence County One Stop - PSH,752,114,Lawrence County Port Authority,159,Lawrence - Lawrence County Port Authority - Lawrence County One Stop - PSH
Knox Metropolitan Housing Authority,1078,Knox - Knox MHA - Knox County TRA - PSH,369,115,Knox Metropolitan Housing Authority,94,Knox - Knox MHA - Knox County TRA - PSH
Lake County ADAMHS Board,1079,Lake - Lake County ADAMHS Board - McKinley Grove SPC - PSH,1038,116,Lake County ADAMHS Board,309,Lake - Lake County ADAMHS Board - McKinley Grove SPC - PSH
Lake County ADAMHS Board,1079,Lake - Lake County ADAMHS Board - Lake County SPC - PSH,737,116,Lake County ADAMHS Board,150,Lake - Lake County ADAMHS Board - Lake County SPC - PSH
Lake County ADAMHS Board,1079,zzLake - Lake County ADAMHS Board - Lake County SPC II - PSH,738,116,Lake County ADAMHS Board,151,zzLake - Lake County ADAMHS Board - Lake County SPC II - PSH
Lake County ADAMHS Board,1079,zzLake - Lake County ADAMHS Board - Lake County SPC III - PSH,739,116,Lake County ADAMHS Board,152,zzLake - Lake County ADAMHS Board - Lake County SPC III - PSH
Lake County ADAMHS Board,1079,Lake - Lake County ADAMHS Board - PSH,770,116,Lake County ADAMHS Board,169,Lake - Lake County ADAMHS Board - PSH
"Harmony House Homeless Services, Inc.",108,Richland - Harmony House - ES,119,34,"Harmony House Homeless Services, Inc.",30,Richland - Harmony House - ES
"Harmony House Homeless Services, Inc.",108,Richland - Harmony House - Targeted RRH,2073,34,"Harmony House Homeless Services, Inc.",722,Richland - Harmony House - Targeted RRH
"Harmony House Homeless Services, Inc.",108,Richland - Harmony House - ES Overflow,2143,34,"Harmony House Homeless Services, Inc.",762,Richland - Harmony House - ES Overflow
"Harmony House Homeless Services, Inc.",108,Richland - Harmony House Homeless Services - HCRP RRH,905,34,"Harmony House Homeless Services, Inc.",209,Richland - Harmony House Homeless Services - HCRP RRH
Licking Metropolitan Housing Authority,1080,Licking -  Licking MHA - Licking Shelter Plus Care - PSH,148,117,Licking Metropolitan Housing Authority,46,Licking -  Licking MHA - Licking Shelter Plus Care - PSH
Licking Metropolitan Housing Authority,1080,Licking - MHA - Shelter Plus Care Vouchers 2 - PSH,707,117,Licking Metropolitan Housing Authority,134,Licking - MHA - Shelter Plus Care Vouchers 2 - PSH
Licking Metropolitan Housing Authority,1080,Licking - MHA - Shelter Plus Care Chronic - PSH,729,117,Licking Metropolitan Housing Authority,147,Licking - MHA - Shelter Plus Care Chronic - PSH
Tri-County Board of Recovery & Mental Health Services,1081,Miami - Family Abuse Shelter of Miami County SPC - PSH,301,118,Tri-County Board of Recovery & Mental Health Services,88,Miami - Family Abuse Shelter of Miami County SPC - PSH
"City of Marietta, Ohio",1083,Washington - City of Marietta - Marietta Washington Shelter Plus Care - PSH,142,119,"City of Marietta, Ohio",42,Washington - City of Marietta - Marietta Washington Shelter Plus Care - PSH
Housing Solutions of Greene County,1084,zzGreene - Housing Solutions of Greene County - HSGC - TH,1421,120,Housing Solutions of Greene County,444,zzGreene - Housing Solutions of Greene County - HSGC - TH
Housing Solutions of Greene County,1084,Greene - Housing Solutions of Greene County - PSH,423,120,Housing Solutions of Greene County,106,Greene - Housing Solutions of Greene County - PSH
"New Housing Ohio, Inc.",1086,"Seneca - New Housing Ohio, Inc. - Morrison House - TH",1017,121,"New Housing Ohio, Inc.",301,"Seneca - New Housing Ohio, Inc. - Morrison House - TH"
"New Housing Ohio, Inc.",1086,Warren - New Housing Ohio - Bernies Place - ES,386,121,"New Housing Ohio, Inc.",96,Warren - New Housing Ohio - Bernies Place - ES
"New Housing Ohio, Inc.",1086,Warren - New Housing Ohio - Permanent Supportive Housing - PSH,762,121,"New Housing Ohio, Inc.",164,Warren - New Housing Ohio - Permanent Supportive Housing - PSH
VOA Mid-States,1096,zzLawrence Gallia - VOA Mid-States - SSVF RRH,1097,122,VOA Mid-States,319,zzLawrence Gallia - VOA Mid-States - SSVF RRH
VOA Mid-States,1096,zzLawrence Gallia - VOA Kentucky - SSVF HP,1183,122,VOA Mid-States,355,zzLawrence Gallia - VOA Kentucky - SSVF HP
"Muskingum Economic Opportunity Action Group, Inc.",1098,"Muskingum - Muskingum Economic Opportunity Action Group, Inc. - HCRP HP",1320,123,"Muskingum Economic Opportunity Action Group, Inc.",402,"Muskingum - Muskingum Economic Opportunity Action Group, Inc. - HCRP HP"
"Muskingum Economic Opportunity Action Group, Inc.",1098,"zzMuskingum - Muskingum Economic Opportunity Action Group, Inc. - HCRP RRH",1321,123,"Muskingum Economic Opportunity Action Group, Inc.",403,"zzMuskingum - Muskingum Economic Opportunity Action Group, Inc. - HCRP RRH"
"Muskingum Economic Opportunity Action Group, Inc.",1098,"Muskingum - Muskingum Economic Opportunity Action Group, Inc. - TANF HP",2307,123,"Muskingum Economic Opportunity Action Group, Inc.",923,"Muskingum - Muskingum Economic Opportunity Action Group, Inc. - TANF HP"
"Transitional Living, Inc.",11,"Butler - Transitional Living, Inc. - PATH Street Outreach",1367,8,"Transitional Living, Inc.",431,"Butler - Transitional Living, Inc. - PATH Street Outreach"
"Transitional Living, Inc.",11,"Butler - Transitional Living, Inc. - PATH Services Only",1368,8,"Transitional Living, Inc.",432,"Butler - Transitional Living, Inc. - PATH Services Only"
Crossroads Crisis Center,1100,Allen - Crossroads Crisis Center - ES - DV,1101,124,Crossroads Crisis Center,320,Allen - Crossroads Crisis Center - ES - DV
Lima Rescue Mission,1104,Allen - Lima Rescue Mission - ES,1105,125,Lima Rescue Mission,321,Allen - Lima Rescue Mission - ES
Volunteers of America Ohio and Indiana,111,zzErie - VOA of Ohio and Indiana - Serenity House supportive housing program- TH,133,35,Volunteers of America Ohio and Indiana,37,zzErie - VOA of Ohio and Indiana - Serenity House supportive housing program- TH
Volunteers of America Ohio and Indiana,111,Erie - VOA of Ohio and Indiana - Crossroads Supportive housing program - TH,134,35,Volunteers of America Ohio and Indiana,38,Erie - VOA of Ohio and Indiana - Crossroads Supportive housing program - TH
Volunteers of America Ohio and Indiana,111,Erie - VOA of Ohio and Indiana - Crossroads - ES,136,35,Volunteers of America Ohio and Indiana,39,Erie - VOA of Ohio and Indiana - Crossroads - ES
Volunteers of America Ohio and Indiana,111,Erie - VOA of Ohio and Indiana - Almost Home - RRH,1779,35,Volunteers of America Ohio and Indiana,528,Erie - VOA of Ohio and Indiana - Almost Home - RRH
Volunteers of America Ohio and Indiana,111,zzErie - VOA of Ohio and Indiana - Crossroads Family Emergency Shelter - ES,1850,35,Volunteers of America Ohio and Indiana,547,zzErie - VOA of Ohio and Indiana - Crossroads Family Emergency Shelter - ES
Volunteers of America Ohio and Indiana,111,Erie - VOA of Ohio and Indiana - Targeted RRH,2072,35,Volunteers of America Ohio and Indiana,721,Erie - VOA of Ohio and Indiana - Targeted RRH
Volunteers of America Ohio and Indiana,111,Erie - VOA of Ohio and Indiana - Crossroads Supportive Housing Program GPD - TH - VET,751,35,Volunteers of America Ohio and Indiana,157,Erie - VOA of Ohio and Indiana - Crossroads Supportive Housing Program GPD - TH - VET
Volunteers of America Ohio and Indiana,111,Erie - VOA of Ohio and Indiana - HCRP RRH,907,35,Volunteers of America Ohio and Indiana,211,Erie - VOA of Ohio and Indiana - HCRP RRH
Volunteers of America Ohio and Indiana,111,zzErie - VOA of Ohio and Indiana - HCRP HP,908,35,Volunteers of America Ohio and Indiana,212,zzErie - VOA of Ohio and Indiana - HCRP HP
zzAshland - Almond Tree Inn,1112,zzAshland - Almond Tree Inn - ES,1113,126,zzAshland - Almond Tree Inn,324,zzAshland - Almond Tree Inn - ES
Homesafe,1115,Ashtabula - Homesafe - ES - DV,1116,127,Homesafe,326,Ashtabula - Homesafe - ES - DV
Edna Brooks,1118,Athens - Edna Brooks - My Sister's Place DV Shelter - ES - DV,1119,128,Edna Brooks,328,Athens - Edna Brooks - My Sister's Place DV Shelter - ES - DV
Tri-County Help Center Inc.,1120,Belmont - Tri-County Help Center - DV Shelter - ES - DV,1121,129,Tri-County Help Center Inc.,329,Belmont - Tri-County Help Center - DV Shelter - ES - DV
Shalom,1124,Butler - Shalom - ES,1125,130,Shalom,330,Butler - Shalom - ES
YWCA Hamilton,1127,Butler - YWCA Hamilton - Dove House - ES - DV,1128,131,YWCA Hamilton,332,Butler - YWCA Hamilton - Dove House - ES - DV
Project Woman of Springfield and Clark County,1131,Clark - Project Woman of Springfield and Clark County - Dochas House - ES - DV,1132,132,Project Woman of Springfield and Clark County,333,Clark - Project Woman of Springfield and Clark County - Dochas House - ES - DV
Project Woman of Springfield and Clark County,1131,Clark - Project Woman - Chrysalis Transitional Program - TH - DV,1133,132,Project Woman of Springfield and Clark County,334,Clark - Project Woman - Chrysalis Transitional Program - TH - DV
YWCA of Greater Cincinnati,1134,Clermont - YWCA of Greater Cincinnati - House of Peace - ES - DV,1135,133,YWCA of Greater Cincinnati,335,Clermont - YWCA of Greater Cincinnati - House of Peace - ES - DV
Catholic Charities Regional Agency,1139,Mahoning - Catholic Charities - HCRP ODSA - HP,2351,134,Catholic Charities Regional Agency,936,Mahoning - Catholic Charities - HCRP ODSA - HP
Catholic Charities Regional Agency,1139,Mahoning - Catholic Charities - HCRP ODSA - RRH,2362,134,Catholic Charities Regional Agency,944,Mahoning - Catholic Charities - HCRP ODSA - RRH
Catholic Charities Regional Agency,1139,zzMahoning - Case Management & Outreach for the Community's Homeless (COACH) - Street Outreach,2365,134,Catholic Charities Regional Agency,946,zzMahoning - Case Management & Outreach for the Community's Homeless (COACH) - Street Outreach
Catholic Charities Regional Agency,1139,Mahoning - Catholic Charities - ESG City - HP,2375,134,Catholic Charities Regional Agency,954,Mahoning - Catholic Charities - ESG City - HP
Catholic Charities Regional Agency,1139,Mahoning - Catholic Charities - ESG City - RRH,2376,134,Catholic Charities Regional Agency,955,Mahoning - Catholic Charities - ESG City - RRH
Catholic Charities Regional Agency,1139,Mahoning - Catholic Charities - MYCAP - HP,2378,134,Catholic Charities Regional Agency,957,Mahoning - Catholic Charities - MYCAP - HP
Catholic Charities Regional Agency,1139,Mahoning - Catholic Charities - Targeted RRH,2380,134,Catholic Charities Regional Agency,959,Mahoning - Catholic Charities - Targeted RRH
Catholic Charities Regional Agency,1139,Mahoning - Catholic Charities - OHFA ERA - not homeless dedicated,2384,134,Catholic Charities Regional Agency,963,Mahoning - Catholic Charities - OHFA ERA - not homeless dedicated
Catholic Charities Regional Agency,1139,Mahoning - Catholic Charities - Voice of Hope - ES,2437,134,Catholic Charities Regional Agency,994,Mahoning - Catholic Charities - Voice of Hope - ES
"First Step, Family Violence Intervention Services",1142,"Coshocton - First Step, Family Violence Intervention Services - ES - DV",1143,135,"First Step, Family Violence Intervention Services",338,"Coshocton - First Step, Family Violence Intervention Services - ES - DV"
Darke County Domestic Violence Shelter,1146,Darke - Darke County DV Shelter - ES - DV,1147,136,Darke County Domestic Violence Shelter,339,Darke - Darke County DV Shelter - ES - DV
Good Samaritan Home,1148,Darke - Good Samaritan Home - Fitzpatrick House - ES,1149,137,Good Samaritan Home,340,Darke - Good Samaritan Home - Fitzpatrick House - ES
Center for Child and Family Advocacy,1150,Defiance - Center for Child and Family Advocacy - House of Ruth - ES - DV,1151,138,Center for Child and Family Advocacy,341,Defiance - Center for Child and Family Advocacy - House of Ruth - ES - DV
Foundations Shelter,1158,Fairfield - Foundations Shelter - ES,1159,141,Foundations Shelter,343,Fairfield - Foundations Shelter - ES
The Lighthouse,1160,Fairfield - The Lighthouse - ES - DV,1161,142,The Lighthouse,344,Fairfield - The Lighthouse - ES - DV
Delta Open Door,1165,Fulton - Delta Open Door - TH,1166,144,Delta Open Door,346,Fulton - Delta Open Door - TH
Northwest Ohio Agape Home Foundation,1167,zzFulton - Northwest Ohio Agape Home Foundation - NOAH House - TH,1168,145,Northwest Ohio Agape Home Foundation,347,zzFulton - Northwest Ohio Agape Home Foundation - NOAH House - TH
zzThe Friendship House,1169,zzFulton - The Friendship House - TH,1170,146,zzThe Friendship House,348,zzFulton - The Friendship House - TH
zzWalt's House,1171,zzFulton - Walt's House - TH,1172,147,zzWalt's House,349,zzFulton - Walt's House - TH
Geauga County Board of Mental Health & Recovery Services,1173,Geauga - Board of Mental Health & Recovery Services - SPC Geauga County TRA - PSH,106,148,Geauga County Board of Mental Health & Recovery Services,23,Geauga - Board of Mental Health & Recovery Services - SPC Geauga County TRA - PSH
Geauga County Board of Mental Health & Recovery Services,1173,Geauga - Board of Mental Health and Recovery Services - PSH,1174,148,Geauga County Board of Mental Health & Recovery Services,350,Geauga - Board of Mental Health and Recovery Services - PSH
WomenSafe,1175,Geauga - WomenSafe - ES - DV,1176,149,WomenSafe,351,Geauga - WomenSafe - ES - DV
Hancock City Mission,1192,Hancock - City Mission of Findlay - ES,1195,152,Hancock City Mission,358,Hancock - City Mission of Findlay - ES
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - Permanent Supportive Housing - PSH - DV,1035,9,Great Lakes Community Action Partnership,308,Sandusky - GLCAP - Permanent Supportive Housing - PSH - DV
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - SSVF RRH,1089,9,Great Lakes Community Action Partnership,313,Sandusky - GLCAP - SSVF RRH
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - SSVF HP,1178,9,Great Lakes Community Action Partnership,352,Sandusky - GLCAP - SSVF HP
Great Lakes Community Action Partnership,12,Lucas - GLCAP - SSVF RRH,1306,9,Great Lakes Community Action Partnership,397,Lucas - GLCAP - SSVF RRH
Great Lakes Community Action Partnership,12,Lucas - GLCAP - SSVF HP,1307,9,Great Lakes Community Action Partnership,398,Lucas - GLCAP - SSVF HP
Great Lakes Community Action Partnership,12,Sandusky - GLCAP Homenet - TH,14,9,Great Lakes Community Action Partnership,1,Sandusky - GLCAP Homenet - TH
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - Homenet Permanent Housing - PSH,15,9,Great Lakes Community Action Partnership,2,Sandusky - GLCAP - Homenet Permanent Housing - PSH
Great Lakes Community Action Partnership,12,zzSandusky - GLCAP - Permanent Supportive Housing Expansion - PSH,1774,9,Great Lakes Community Action Partnership,525,zzSandusky - GLCAP - Permanent Supportive Housing Expansion - PSH
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - HUD RRH,1854,9,Great Lakes Community Action Partnership,552,Sandusky - GLCAP - HUD RRH
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - Day One - RRH,2067,9,Great Lakes Community Action Partnership,717,Sandusky - GLCAP - Day One - RRH
Great Lakes Community Action Partnership,12,GLCAP - OHFA ERA - not homeless dedicated,2164,9,Great Lakes Community Action Partnership,783,GLCAP - OHFA ERA - not homeless dedicated
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - CSBG ERA - not homeless dedicated,2197,9,Great Lakes Community Action Partnership,816,Sandusky - GLCAP - CSBG ERA - not homeless dedicated
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - ESG-CV HP,2215,9,Great Lakes Community Action Partnership,832,Sandusky - GLCAP - ESG-CV HP
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - Housing Now for Homeless Families - TANF RRH,2251,9,Great Lakes Community Action Partnership,868,Sandusky - GLCAP - Housing Now for Homeless Families - TANF RRH
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - Housing Now for Homeless Families - TANF HP,2252,9,Great Lakes Community Action Partnership,869,Sandusky - GLCAP - Housing Now for Homeless Families - TANF HP
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - HCRP RRH,868,9,Great Lakes Community Action Partnership,183,Sandusky - GLCAP - HCRP RRH
Great Lakes Community Action Partnership,12,Sandusky - GLCAP - HCRP HP,935,9,Great Lakes Community Action Partnership,231,Sandusky - GLCAP - HCRP HP
Hocking Hills Inspire Shelter,1201,Hocking - Hills Inspire Shelter - ES,1202,155,Hocking Hills Inspire Shelter,359,Hocking - Hills Inspire Shelter - ES
New Directions,1203,Knox - New Directions - ES - DV,1205,156,New Directions,360,Knox - New Directions - ES - DV
Winter Sanctuary Emergency Homeless Shelter,1204,Knox - St. Paul's Parish - Winter Sanctuary Shelter - ES,1206,157,Winter Sanctuary Emergency Homeless Shelter,361,Knox - St. Paul's Parish - Winter Sanctuary Shelter - ES
Forbes House,1207,Lake - Forbes House - ES - DV,1208,158,Forbes House,362,Lake - Forbes House - ES - DV
Ironton City Mission,1212,Lawrence - Ironton City Mission - ES,1214,160,Ironton City Mission,364,Lawrence - Ironton City Mission - ES
Society of St. Vincent de Paul Housing Facility,1215,Licking - St. Vincent de Paul - St. Vincent Haven - ES,1217,161,Society of St. Vincent de Paul Housing Facility,366,Licking - St. Vincent de Paul - St. Vincent Haven - ES
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Ravenna Permanent Supportive - Liberty - VET - PSH,1058,163,"Family and Community Services, Inc.",310,Portage - Family and Community Services - Ravenna Permanent Supportive - Liberty - VET - PSH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - SSVF RRH,1093,163,"Family and Community Services, Inc.",316,Portage - Family and Community Services - SSVF RRH
"Family and Community Services, Inc.",1222,Lorain - Family and Community Services - SSVF RRH,1110,163,"Family and Community Services, Inc.",322,Lorain - Family and Community Services - SSVF RRH
"Family and Community Services, Inc.",1222,Trumbull - Family and Community Services  - SSVF RRH,1111,163,"Family and Community Services, Inc.",323,Trumbull - Family and Community Services  - SSVF RRH
"Family and Community Services, Inc.",1222,Lorain - Family and Community Services - SSVF HP,1186,163,"Family and Community Services, Inc.",357,Lorain - Family and Community Services - SSVF HP
"Family and Community Services, Inc.",1222,Lorain - Family and Community Services - Valor Home GPD - TH,1229,163,"Family and Community Services, Inc.",367,Lorain - Family and Community Services - Valor Home GPD - TH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - SSVF HP,1254,163,"Family and Community Services, Inc.",376,Portage - Family and Community Services - SSVF HP
"Family and Community Services, Inc.",1222,Trumbull - Family and Community Services - SSVF HP,1255,163,"Family and Community Services, Inc.",377,Trumbull - Family and Community Services - SSVF HP
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Safe Path - TH - DV,1261,163,"Family and Community Services, Inc.",381,Portage - Family and Community Services - Safe Path - TH - DV
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Safer Futures - ES - DV,1262,163,"Family and Community Services, Inc.",382,Portage - Family and Community Services - Safer Futures - ES - DV
"Family and Community Services, Inc.",1222,Trumbull - Family and Community Services - Veteran's Haven - GPD - PH Housing Only,1282,163,"Family and Community Services, Inc.",387,Trumbull - Family and Community Services - Veteran's Haven - GPD - PH Housing Only
"Family and Community Services, Inc.",1222,Trumbull - Someplace Safe - ES - DV,1284,163,"Family and Community Services, Inc.",388,Trumbull - Someplace Safe - ES - DV
"Family and Community Services, Inc.",1222,Mahoning - Family and Community Services - SSVF HP,1327,163,"Family and Community Services, Inc.",406,Mahoning - Family and Community Services - SSVF HP
"Family and Community Services, Inc.",1222,Mahoning - Family and Community Services - SSVF RRH,1328,163,"Family and Community Services, Inc.",407,Mahoning - Family and Community Services - SSVF RRH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Miller Community House - ES,152,163,"Family and Community Services, Inc.",48,Portage - Family and Community Services - Miller Community House - ES
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Housing & Emergency Support Services - ES Overflow,153,163,"Family and Community Services, Inc.",49,Portage - Family and Community Services - Housing & Emergency Support Services - ES Overflow
"Family and Community Services, Inc.",1222,Geauga - Family & Community Services Inc - Next Step - ODH TH,1574,163,"Family and Community Services, Inc.",454,Geauga - Family & Community Services Inc - Next Step - ODH TH
"Family and Community Services, Inc.",1222,Medina - Family and Community Services - SSVF HP,1669,163,"Family and Community Services, Inc.",479,Medina - Family and Community Services - SSVF HP
"Family and Community Services, Inc.",1222,Geauga - Family and Community Services - SSVF HP,1670,163,"Family and Community Services, Inc.",480,Geauga - Family and Community Services - SSVF HP
"Family and Community Services, Inc.",1222,Medina - Family and Community Services - SSVF RRH,1671,163,"Family and Community Services, Inc.",481,Medina - Family and Community Services - SSVF RRH
"Family and Community Services, Inc.",1222,Geauga - Family and Community Services - SSVF RRH,1672,163,"Family and Community Services, Inc.",482,Geauga - Family and Community Services - SSVF RRH
"Family and Community Services, Inc.",1222,Stark - Family and Community Services - SSVF HP,1700,163,"Family and Community Services, Inc.",496,Stark - Family and Community Services - SSVF HP
"Family and Community Services, Inc.",1222,Stark - Family and Community Services - SSVF RRH,1701,163,"Family and Community Services, Inc.",497,Stark - Family and Community Services - SSVF RRH
"Family and Community Services, Inc.",1222,Portage - Family & Community Services - Reed Home for Veterans - PSH,1733,163,"Family and Community Services, Inc.",506,Portage - Family & Community Services - Reed Home for Veterans - PSH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Targeted RRH,1906,163,"Family and Community Services, Inc.",594,Portage - Family and Community Services - Targeted RRH
"Family and Community Services, Inc.",1222,Geauga - Family and Community Services - Youth Targeted RRH,1907,163,"Family and Community Services, Inc.",595,Geauga - Family and Community Services - Youth Targeted RRH
"Family and Community Services, Inc.",1222,Lorain - Family and Community Services - G Street - PSH,2049,163,"Family and Community Services, Inc.",713,Lorain - Family and Community Services - G Street - PSH
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - OHFA ERA - not homeless dedicated,2139,163,"Family and Community Services, Inc.",758,Portage - Family and Community Services - OHFA ERA - not homeless dedicated
"Family and Community Services, Inc.",1222,Portage - Family and Community Services - Ravenna - TANF HP,2177,163,"Family and Community Services, Inc.",796,Portage - Family and Community Services - Ravenna - TANF HP
